id,C1,C2
(f)Lachnospiraceae sp.,0,0
(c)Coriobacteriia sp.,5.35198649934378,60.7811595504864
(c)Clostridia sp.,39.8745638301297,100
Akkermansia sp.,19.3102340296215,100
(c)Bacteroidia sp.,16.2980526920898,100
(o)Clostridiales sp.,55.7625081410751,100
(f)Ruminococcaceae sp.,0,0
Cyniclomyces guttulatus,100,100
(o)Bacteroidales sp.,4.98912896565126,60.8318693950502
Subdoligranulum sp.,0.963698141127986,1.71614972771277
(c)Betaproteobacteria sp.,0.341952824199158,3.57844848569394
Synergistes sp.,0.407058811492046,1.52183362054054
Alistipes finegoldii,1.10089674154347,1.60281488387751
(f)Christensenellaceae sp.,2.03278285408226,50.6284016341342
(c)Deltaproteobacteria sp.,0.569981684156836,12.4394027869038
Bacteroides uniformis,6.73639574009304,80.4379567622145
Papillibacter sp.,0.948025758325303,19.5066208466316
Bacteroides dorei,0.583326077018183,0.909218647188108
(c)Negativicutes sp.,0.433281934869084,0.660516077635283
(c)Mollicutes sp.,0,0
Bacteroides cellulosilyticus,0.171935554452744,0.321163145003486
Odoribacter sp.,0.17889459502746,0.247475727501753
Campylobacter cuniculorum,1.61348984841049,34.9594572901506
(p)*Saccharibacteria sp.,0.458328277876747,5.35835796424087
Parabacteroides distasonis,0.108617824718827,0.318755079480331
Bacteroides xylanisolvens,0.25977662677773,0.590588300134287
Alistipes obesi,0.394160577168937,5.63303994468433
Alistipes senegalensis,0.132911111876019,0.186604111741964
Lachnoclostridium sp.,0.230590829253731,1.6310574257897
(c)Opitutae sp.,0.588747339773953,0.691789405159085
Cladosporium sp.,0.967652750898535,100
(c)Erysipelotrichia sp.,0.820641952478763,14.1895846138767
Vishniacozyma victoriae,0.388319110623972,21.1694408877507
(o)*Gastranaerophilales sp.,3.37316851298011,36.5028602046505
(f)Corynebacteriaceae sp.,0.739970244236252,53.7647901867725
(f)Family XIII sp.,0.326181096132855,2.78119328915991
Anaerotruncus sp.,0.0340804617685137,0.893592095103925
Bacteroides sp.,0.683905648398316,1.08995114751105
Bacteroides sartorii,1.47396950299485,17.115272174658
Paraprevotella xylaniphila,1.2461740628639,13.7226272242998
Alistipes onderdonkii,0.26430494484921,1.16353233150537
Parabacteroides sp.,0.305551694803644,9.02491209745135
Blautia sp.,0.364963469664915,100
(c)Alphaproteobacteria sp.,5.96044088584996,68.7271911365762
Bacteroides fragilis,0.039345195938199,0.119419097054356
Alistipes shahii,0.123351044527274,0.155900866325067
Alistipes timonensis,0.147972922070544,1.93979444566173
Anaerostipes caccae,0,0.0608860135173521
Flavonifractor plautii,0,0.0922279004619467
Cyniclomyces sp.,0.0540879737380643,0.431900413731526
Vishniacozyma tephrensis,0.071400026641801,2.33657267272051
Bacteroides stercorirosoris,1.41060106045527,39.4236402449583
Butyricimonas virosa,0.181055461747645,4.10998670804268
Alistipes indistinctus,0.0804563995346226,0.854630468145573
Parabacteroides merdae,0.285254517606828,3.31906059242877
Bilophila wadsworthia,0,0.0259104831570638
Escherichia coli,0,0.0420484297533138
(p)*Melainabacteria sp.,1.62379615766598,17.9472704658551
Butyricimonas sp.,0.108477898221402,1.37200299014209
Alistipes sp.,0.127462583988386,3.95784888978253
Hungatella hathewayi,0,0.0760192041663276
(o)Coriobacteriales sp.,0.124441675550295,1.79474558572469
(f)Odoribacteraceae sp.,0.217920097653285,2.64796097161465
(f)Eubacteriaceae sp.,0.071635226051776,1.16167059000398
Roseburia sp.,0.146937534793665,1.43896141903733
(f)Oxalobacteraceae sp.,0,0.0158319181117393
(o)Pleosporales sp.,0.156667588240715,30.3883909517712
Saccharomyces cerevisiae,0.192170976628455,67.7763551002988
Fusarium sp.,0.28169014084507,4.1544477028348
Bacteroides eggerthii,0.97562517078858,31.7927286726331
Hungatella sp.,0,0.0621233083978449
Blautia producta,0,0.010203891154111
Lachnoclostridium bolteae,0,1.54665304044742
(f)Erysipelotrichaceae sp.,0,0.0605960203024384
Akkermansia muciniphila,7.09935568634865,75.7188877487512
Alternaria sp.,0.366417078222081,100
(k)Fungi sp.,0.717730118556014,100
(o)Eggerthellales sp.,0.191048573175301,2.48883351100591
Bacteroides caccae,0,0.0622769946480914
(o)Lactobacillales sp.,0,0.415990559865732
Eisenbergiella tayi,0,1.35225756976371
Lachnoclostridium urinimassiliense,0,0.0550872684593328
Phascolarctobacterium faecium,0.148843295459802,3.64963469664915
(o)Desulfovibrionales sp.,0,0.0471425903394222
Helicobacter cholecystus-muridarum-rappini,0.188927767534274,1.91379641619203
Ascochyta medicaginicola,0.680112570356473,7.08493384549723
(f)Aspergillaceae sp.,1.01698166019657,16.5599658557406
(c)Sordariomycetes sp.,0.0503271263210871,1.20518228382043
Corynebacterium jeikeium,1.91135828349396,29.745766790114
Bacteroides thetaiotaomicron,0.577516632360349,18.8706849347764
Alopecurus japonicus,0.170926249684612,100
Enterococcus casseliflavus,0.0282854482966586,0.468562931448279
Enterococcus gallinarum-saccharolyticus,0.172105524940039,3.12394475303416
(c)Bacilli sp.,0.0669117599320381,12.3912421050882
Eubacterium sp.,0,1
(f)Hungateiclostridiaceae sp.,0.023512659947415,0.466078451878356
Coprococcus sp.,0.226071540896399,3.68714840097202
Eisenbergiella massiliensis,0,2.19426483189973
(f)Oscillospiraceae sp.,0.122855793724233,4.68109920265139
Anaerotruncus colihominis,0,1
Ruminococcus sp.,0.229164138938373,6.16857042838024
Holdemania massiliensis,0.023512659947415,1.02399003123688
Victivallis vadensis,0.957238476206178,11.6506150686078
Malassezia restricta,0,0.645101833932356
Sporobolomyces roseus,0.179257362355954,6.02104702277874
(f)Actinomycetaceae sp.,0,0.540841025783154
Glutamicibacter arilaitensis,0,0.590394541454088
Bacteroides intestinalis,0,5.43418038453644
(c)Thermoflexia sp.,0.108717366825757,5.14751034807448
Jeotgalicoccus huakuii,0,1
Staphylococcus equorum,0,1
Aerococcus urinaeequi-viridans,0.0443398883244646,1.17166281246948
Streptococcus ferus,0,1.51206907314049
Clostridium maximum,0.263106790998275,14.3216438147954
Lactonifactor sp.,0,3.92568756078127
Anaerostipes sp.,0.248787713324113,2.61539002103611
Cuneatibacter caecimuris,0,1
Marvinbryantia sp.,0,1
Oscillibacter sp.,0.0254720482763662,2.1190637552751
Clostridioides difficile,0,1
Holdemania filiformis,0,1
(k)Bacteria sp.,0.597141498974649,11.8795425003522
Enterobacter cloacae,0,1
Actinobacillus capsulatus,0,0.822071789280803
Acinetobacter sp.,0,1
Acinetobacter lwoffii,0,2.08607585582744
Neoascochyta sp.,0.0264241516746306,1.01373145332227
Alternaria infectoria-rosae,0,0.506462907097087
Aspergillus sp.,0.317676423871114,46.9483568075117
Penicillium sp.,0.136577037985489,2.2691173133651
Candida albicans,0,1
Fusarium poae,0.230473751600512,3.7344398340249
Sarocladium bactrocephalum-strictum,0.170721297481861,20.8787853967639
(f)Apiosporaceae sp.,0.047422405754629,5.78671810416093
Ustilago nunavutica,0,1
Rothia nasimurium,0,1
Alistipes massiliensis,0,0
Parabacteroides johnsonii,0,0
(o)Flavobacteriales sp.,0,1
Bacillus sp.,0,0
Jeotgalicoccus psychrophilus,0,0
Facklamia ignava,0,0
Atopostipes sp.,0,0
(f)Carnobacteriaceae sp.,0,0
Enterococcus gallinarum,0,1
Clostridium disporicum,0,1
(f)Clostridiaceae sp.,0,0
Lachnoclostridium scindens,0,0
Robinsoniella peoriensis,0,1
Shuttleworthia sp.,0,1
Intestinimonas massiliensis,0,0
(f)Peptococcaceae sp.,0,0
Phascolarctobacterium sp.,0,0
Haemophilus parainfluenzae,0,1
(f)Pasteurellaceae sp.,0,1
Aureobasidium proteae-pullulans,0,0
(c)Dothideomycetes sp.,0,0
Didymella glomerata,0,0
(p)Ascomycota sp.,0,0
(c)Saccharomycetes sp.,0,0
Plectosphaerella sp.,0,0
(o)Hypocreales sp.,0,0
Fusarium armeniacum-sporotrichioides,0,0
(c)Tremellomycetes sp.,0,1
Wallemia tropicalis,0,0
